BIAR,65.660,-18.072
BIEG,65.283,-14.401
BIHN,64.296,-15.227
BIHU,65.952,-17.426
BIIS,66.058,-23.135
BIKF,63.985,-22.606
BIKP,66.314,-16.461
BIPA,65.556,-23.965
BIRK,64.130,-21.941
BISI,66.133,-18.917
BIVM,63.424,-20.279
EBAW,51.190,4.463
EBBE,50.759,4.768
EBBL,51.168,5.471
EBBR,50.902,4.499
EBBT,51.333,4.500
EBBX,49.887,5.229
EBCI,50.459,4.454
EBCV,50.576,3.831
EBFN,51.090,2.653
EBFS,50.244,4.649
EBKT,50.818,3.208
EBLG,50.637,5.443
EBOS,51.199,2.862
EBSL,50.948,5.592
EBST,50.788,5.193
EBUL,51.144,3.474
EBWE,51.395,4.961
EBZR,51.266,4.755
EDAB,51.193,14.520
EDAC,50.982,12.506
EDAD,51.832,12.186
EDAE,52.197,14.586
EDAH,53.879,14.152
EDAK,51.308,13.555
EDAM,51.363,11.941
EDAQ,51.552,12.053
EDAU,51.294,13.359
EDAX,53.306,12.753
EDAY,52.580,13.916
EDAZ,52.203,13.159
EDBC,51.856,11.418
EDBG,35.461,-77.965
EDBH,54.338,12.710
EDBJ,50.917,11.714
EDBK,52.919,12.425
EDBM,52.074,11.626
EDBN,51.328,12.657
EDBR,51.364,14.952
EDCA,53.833,13.669
EDCD,51.889,14.532
EDCK,51.721,11.962
EDCM,51.296,14.129
EDDB,52.380,13.523
EDDC,51.133,13.767
EDDE,50.980,10.958
EDDF,50.026,8.543
EDDG,52.134,7.685
EDDH,53.630,9.988
EDDI,52.473,13.404
EDDK,50.866,7.143
EDDL,51.289,6.767
EDDM,48.354,11.786
EDDN,49.499,11.078
EDDP,51.424,12.236
EDDR,49.214,7.109
EDDS,48.690,9.222
EDDT,52.559,13.287
EDDV,52.461,9.685
EDDW,53.047,8.787
EDFE,49.961,8.644
EDFH,49.950,7.264
EDFM,49.473,8.514
EDFQ,51.035,8.679
EDFV,49.606,8.368
EDFZ,49.969,8.147
EDGE,50.993,10.473
EDGS,50.708,8.082
EDHI,53.535,9.835
EDHK,54.379,10.145
EDHL,53.805,10.719
EDKA,50.823,6.187
EDKV,50.406,6.528
EDKZ,51.099,7.602
EDLA,51.483,7.899
EDLC,51.530,6.537
EDLE,51.401,6.936
EDLN,51.230,6.504
EDLP,51.614,8.616
EDLS,51.996,6.840
EDLW,51.518,7.612
EDMA,48.425,10.932
EDMB,48.111,9.763
EDME,48.396,12.724
EDMO,48.081,11.283
EDMS,48.901,12.518
EDMV,48.636,13.195
EDNL,47.859,10.014
EDNY,47.671,9.511
EDOP,53.427,11.783
EDOV,52.629,11.820
EDPA,48.778,10.264
EDQC,50.263,10.996
EDQD,49.984,11.638
EDQE,49.794,11.132
EDQM,50.289,11.855
EDQP,49.863,11.788
EDQT,50.018,10.529
EDRK,50.325,7.531
EDRT,49.863,6.789
EDRY,49.302,8.451
EDRZ,49.209,7.401
EDTB,48.791,8.187
EDTD,47.973,8.522
EDTF,48.020,7.834
EDTK,48.982,8.333
EDTM,48.054,9.373
EDTY,49.118,9.777
EDUS,51.608,13.738
EDVE,52.319,10.556
EDVK,51.408,9.378
EDVM,52.177,9.946
EDWB,53.503,8.573
EDWD,53.143,8.623
EDWE,53.391,7.227
EDWF,53.272,7.443
EDWI,53.505,8.053
EDWR,53.595,6.709
EDWY,53.707,7.230
EDXF,54.772,9.378
EDXR,54.221,9.601
EDXW,54.913,8.340
EEEI,59.259,24.204
EEKA,58.991,22.831
EEKE,58.230,22.509
EEPU,58.419,24.473
EETN,59.413,24.833
EETU,58.307,26.690
EFET,68.362,23.424
EFEU,61.116,22.201
EFHA,61.856,24.786
EFHF,60.254,25.043
EFHK,60.320,24.956
EFHM,61.689,23.074
EFHN,59.849,23.083
EFHV,60.654,24.881
EFIK,60.463,23.652
EFIM,61.249,28.904
EFIT,62.166,30.074
EFIV,68.607,27.405
EFJO,62.659,29.624
EFJY,62.399,25.678
EFKA,63.127,23.051
EFKE,65.782,24.599
EFKI,64.285,27.692
EFKJ,62.463,22.393
EFKK,63.721,23.143
EFKM,66.713,27.157
EFKS,65.987,29.239
EFKT,67.701,24.847
EFKU,63.007,27.798
EFLA,61.144,25.693
EFLP,61.044,28.144
EFMA,60.122,19.898
EFME,62.947,23.519
EFMI,61.686,27.202
EFNU,60.334,24.296
EFOU,64.930,25.354
EFPI,61.246,22.193
EFPO,61.462,21.800
EFPU,65.402,26.947
EFPY,63.732,25.926
EFRH,64.688,24.696
EFRN,62.065,28.356
EFRO,66.565,25.830
EFRY,60.745,24.108
EFSA,61.943,28.945
EFSE,61.062,26.799
EFSO,67.395,26.619
EFTP,61.414,23.604
EFTS,61.773,24.027
EFTU,60.514,22.263
EFUT,60.896,26.938
EFVA,63.051,21.761
EFVR,62.171,27.869
EFYL,64.060,24.716
EGAA,54.657,-6.216
EGAB,54.399,-7.652
EGAC,54.618,-5.873
EGAE,55.043,-7.161
EGBB,52.454,-1.748
EGBE,52.370,-1.480
EGBG,52.608,-1.032
EGBJ,51.894,-2.167
EGBN,52.920,-1.079
EGBO,52.517,-2.260
EGCC,53.354,-2.275
EGCD,53.338,-2.149
EGDC,51.087,-4.150
EGDG,50.441,-4.995
EGDM,51.152,-1.747
EGDR,50.086,-5.256
EGFE,51.833,-4.961
EGFF,51.397,-3.343
EGFH,51.605,-4.068
EGGD,51.383,-2.719
EGGP,53.334,-2.850
EGGW,51.874,-0.368
EGHD,50.423,-4.106
EGHH,50.780,-1.843
EGHI,50.950,-1.357
EGHL,51.185,-1.032
EGJJ,49.208,-2.195
EGKA,50.836,-0.297
EGKB,51.331,0.033
EGKK,51.148,-0.190
EGLC,51.505,0.054
EGLF,51.276,-0.776
EGLJ,51.676,-1.081
EGLK,51.324,-0.848
EGMC,51.571,0.696
EGMH,51.342,1.346
EGNB,53.719,-0.566
EGNC,54.938,-2.809
EGNH,53.772,-3.029
EGNJ,53.574,-0.351
EGNL,54.130,-3.256
EGNM,53.866,-1.661
EGNR,53.178,-2.978
EGNS,54.083,-4.624
EGNT,55.038,-1.692
EGNV,54.509,-1.429
EGNX,52.831,-1.328
EGOD,52.812,-4.123
EGPA,58.958,-2.905
EGRR,51.383,-0.783
EGSC,52.205,0.175
EGSF,52.468,-0.251
EGSH,52.676,1.283
EGSS,51.885,0.235
EGSY,53.394,-1.388
EGTC,52.072,-0.617
EGTD,51.117,-0.534
EGTE,50.734,-3.414
EGTG,51.519,-2.591
EGTH,51.767,0.250
EGTK,51.837,-1.320
EGUB,51.616,-1.096
EGUL,52.409,0.561
EGUN,52.361,0.488
EGVA,51.682,-1.790
EGVN,51.750,-1.584
EGWC,52.640,-2.306
EGXC,53.093,-0.166
EGXD,54.137,-1.420
EGXE,54.292,-1.535
EGXG,53.834,-1.195
EGXH,52.343,0.773
EGXJ,52.736,-0.649
EGXU,54.049,-1.252
EGYC,52.755,1.357
EGYD,53.031,-0.481
EGYE,52.962,-0.561
EHAM,52.309,4.764
EHBD,51.255,5.601
EHBK,50.911,5.770
EHDL,52.061,5.873
EHDR,53.119,6.130
EHEH,51.450,5.374
EHGG,53.119,6.579
EHGR,51.568,4.933
EHKD,52.923,4.781
EHLE,52.460,5.527
EHLW,53.229,5.761
EHRD,51.957,4.442
EHSB,52.127,5.276
EHTW,52.270,6.874
EHVB,52.170,4.426
EHWO,51.449,4.342
EICK,51.843,-8.492
EICM,53.301,-8.939
EIDL,55.044,-8.341
EIDW,53.421,-6.270
EIKN,53.910,-8.818
EIKY,52.181,-9.524
EIME,53.303,-6.443
EINN,52.702,-8.925
EISG,54.280,-8.599
EIWF,52.187,-7.087
EKAH,56.304,10.619
EKBI,55.740,9.152
EKCH,55.618,12.656
EKEB,55.526,8.553
EKGH,55.941,12.382
EKHO,56.397,8.443
EKKA,56.297,9.124
EKLS,57.278,11.001
EKMB,54.699,11.440
EKOD,55.476,10.329
EKPB,54.870,9.279
EKRK,55.586,12.131
EKRN,55.063,14.759
EKSB,54.964,9.792
EKSN,57.503,10.229
EKSP,55.225,9.264
EKSV,56.550,9.173
EKTS,57.069,8.705
EKVA,55.697,9.193
EKVD,55.436,9.331
EKVH,56.847,9.459
EKVJ,55.990,8.354
EKVL,55.767,12.343
EKYT,57.093,9.849
ENAL,62.560,6.110
ENAN,69.293,16.144
ENAT,69.977,23.366
ENBL,61.392,5.764
ENBM,60.639,6.501
ENBN,65.459,12.214
ENBO,67.269,14.363
ENBR,60.293,5.218
ENBS,70.600,29.692
ENCN,58.204,8.085
ENDI,60.417,8.514
ENDU,69.056,18.540
ENEV,68.491,16.678
ENFB,59.896,10.617
ENFG,61.011,9.293
ENFL,61.584,5.025
ENGM,60.194,11.100
ENHA,60.818,11.067
ENHD,59.345,5.208
ENHK,70.487,22.140
ENKB,63.112,7.824
ENKJ,59.969,11.036
ENKR,69.725,29.887
ENLI,58.100,6.625
ENML,62.746,7.272
ENMS,65.784,13.215
ENNA,70.069,24.973
ENNO,59.566,9.212
ENOL,63.699,9.604
ENRO,62.578,11.342
ENRY,59.379,10.786
ENSB,78.246,15.466
ENSG,61.156,7.136
ENSN,59.185,9.567
ENSO,59.792,5.341
ENSR,69.787,20.959
ENSS,70.355,31.045
ENST,65.957,12.469
ENTC,69.683,18.919
ENTO,59.187,10.259
ENVA,63.458,10.940
ENZV,58.877,5.638
EPGD,54.377,18.466
EPKK,50.078,19.785
EPKM,50.238,19.035
EPKO,54.042,16.264
EPKT,50.474,19.080
EPLL,51.722,19.398
EPML,50.322,21.462
EPPO,52.421,16.826
EPRZ,50.110,22.019
EPSC,53.585,14.902
EPSD,53.392,14.634
EPSK,54.479,17.108
EPWA,52.166,20.967
EPWR,51.102,16.886
EPZG,52.139,15.799
ESCF,58.402,15.526
ESCK,58.611,16.103
ESCM,59.897,17.588
ESCN,59.181,17.912
ESDB,56.296,12.847
ESDF,56.267,15.265
ESFH,58.409,13.262
ESFI,56.184,14.132
ESFM,58.598,14.114
ESFQ,56.844,15.452
ESFR,58.498,13.053
ESFY,56.785,13.602
ESGG,57.663,12.280
ESGJ,57.758,14.069
ESGK,58.170,13.588
ESGL,58.465,13.174
ESGP,57.775,11.870
ESGR,58.456,13.973
ESGT,58.318,12.345
ESIA,58.514,14.507
ESIB,58.426,12.714
ESKA,60.133,18.105
ESKB,59.419,17.891
ESKK,59.346,14.496
ESKM,60.958,14.511
ESKN,58.789,16.912
ESKS,59.314,17.109
ESKV,59.676,12.639
ESKX,58.791,16.571
ESMA,56.611,15.605
ESMG,56.950,13.922
ESMK,55.922,14.085
ESML,55.945,12.861
ESMO,57.350,16.498
ESMP,57.264,13.599
ESMQ,56.685,16.288
ESMS,55.530,13.371
ESMT,56.691,12.820
ESMV,57.292,14.137
ESMX,56.929,14.728
ESNA,63.738,15.458
ESNC,62.409,13.747
ESND,62.048,14.423
ESNF,61.898,15.705
ESNG,67.132,20.814
ESNH,61.768,17.081
ESNI,63.634,17.940
ESNJ,66.496,20.147
ESNK,63.048,17.769
ESNL,64.548,18.716
ESNM,63.129,14.803
ESNN,62.528,17.444
ESNO,63.408,18.990
ESNP,65.399,21.265
ESNQ,67.822,20.337
ESNR,61.190,14.712
ESNS,64.625,21.077
ESNT,62.481,17.003
ESNU,63.792,20.282
ESNV,64.579,16.833
ESNX,65.590,19.282
ESOE,59.224,15.038
ESOH,60.020,13.579
ESOW,59.589,16.634
ESPA,65.544,22.122
ESPC,63.194,14.502
ESPE,65.875,20.150
ESPJ,65.836,21.471
ESQO,59.386,15.924
ESSA,59.652,17.919
ESSB,59.354,17.941
ESSD,60.422,15.515
ESSF,57.526,15.824
ESSK,60.593,16.951
ESSL,58.406,15.680
ESSP,58.586,16.251
ESST,60.157,12.991
ESSU,59.351,16.708
ESSV,57.663,18.346
ESUA,64.571,19.314
ESUD,64.961,17.696
ESUE,61.869,12.691
ESUF,65.106,20.761
ESUK,67.765,20.257
ESUT,65.806,15.083
ETAD,49.973,6.692
ETAR,49.438,7.601
ETEJ,49.920,10.914
ETEK,49.650,7.300
ETEU,49.648,9.966
ETHB,52.278,9.082
ETHC,52.591,10.022
ETHE,52.291,7.387
ETHF,51.114,9.286
ETHI,53.994,9.578
ETHL,48.220,9.910
ETHM,50.366,7.315
ETHN,49.392,9.958
ETHR,49.218,11.101
ETHS,52.919,10.184
ETHT,51.768,14.292
ETIC,49.699,11.941
ETID,50.169,8.961
ETIE,49.393,8.652
ETIH,49.218,11.836
ETIN,49.743,10.201
ETME,54.625,9.341
ETMN,53.767,8.658
ETND,52.585,8.341
ETNG,50.961,6.042
ETNH,54.312,9.538
ETNJ,53.533,7.889
ETNL,53.918,12.279
ETNN,50.831,6.658
ETNP,52.339,7.541
ETNR,51.664,14.634
ETNS,54.459,9.516
ETNT,53.548,7.667
ETNU,53.602,13.306
ETNW,52.457,9.427
ETOI,49.634,11.767
ETOR,49.563,8.463
ETOU,50.050,8.325
ETSA,48.071,10.906
ETSB,50.174,7.063
ETSE,48.322,11.949
ETSF,48.206,11.267
ETSH,51.768,13.167
ETSI,48.716,11.534
ETSL,48.186,10.862
ETSM,47.989,10.239
ETSN,48.711,11.211
ETUL,51.602,6.143
ETUO,51.923,8.306
ETUR,51.200,6.132
GCLA,28.626,-17.756
LATI,41.415,19.721
LBBG,42.569,27.514
LBGO,43.151,25.713
LBPD,42.068,24.851
LBSF,42.695,23.406
LBSZ,42.377,25.655
LBWN,43.232,27.825
LCLK,34.875,33.625
LCPH,34.718,32.486
LCRA,34.590,32.988
LDDU,42.561,18.268
LDOC,45.542,18.636
LDOS,45.463,18.811
LDPL,44.893,13.922
LDRG,45.379,14.504
LDRI,45.217,14.570
LDSP,43.539,16.298
LDVA,46.295,16.381
LDZA,45.743,16.069
LDZD,44.108,15.347
LDZU,44.557,15.774
LEAB,38.948,-1.863
LEAL,38.282,-0.558
LEAM,36.844,-2.370
LEAS,43.563,-6.034
